Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,175.210007,177.740005,174.520004,176.820007,173.499771,28401400
2018-03-06,177.910004,178.250000,176.130005,176.669998,173.352600,23788500
2018-03-07,174.940002,175.850006,174.270004,175.029999,171.743393,31703500
2018-03-08,175.479996,177.119995,175.070007,176.940002,173.617508,23774100
2018-03-09,177.960007,180.000000,177.389999,179.979996,176.600418,32185200
2018-03-12,180.289993,182.389999,180.210007,181.720001,178.307755,32207100
2018-03-13,182.589996,183.500000,179.240005,179.970001,176.590637,31693500
2018-03-14,180.320007,180.520004,177.809998,178.440002,175.089340,29368400
2018-03-15,178.500000,180.240005,178.070007,178.649994,175.295395,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,174.677246,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,172.008316,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,171.949448,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,168.053986,37054900
2018-03-22,170.000000,172.679993,168.600006,168.850006,165.679413,41490800
2018-03-23,168.389999,169.919998,164.940002,164.940002,161.842865,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,169.525833,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,165.179001,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,163.353928,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,164.629501,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,163.550171,37586800
2018-04-03,167.639999,168.750000,164.880005,168.389999,165.228073,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,168.387604,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,169.555252,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,165.218262,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,166.856888,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,169.996826,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,169.202011,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,170.870102,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,171.449020,25124300
2018-04-16,175.029999,176.190002,174.830002,175.820007,172.518570,21578400
2018-04-17,176.490005,178.940002,176.410004,178.240005,174.893112,26605400
2018-04-18,177.809998,178.820007,176.880005,177.839996,174.500610,20754500
2018-04-19,173.759995,175.389999,172.660004,172.800003,169.555252,34808800
2018-04-20,170.600006,171.220001,165.429993,165.720001,162.608185,65491100
2018-04-23,166.830002,166.919998,164.089996,165.240005,162.137238,36515500
2018-04-24,165.669998,166.330002,161.220001,162.940002,159.880402,33692000
2018-04-25,162.619995,165.419998,162.410004,163.649994,160.577057,28382100
2018-04-26,164.119995,165.729996,163.369995,164.220001,161.136368,27963000
2018-04-27,164.000000,164.330002,160.630005,162.320007,159.272049,35655800
2018-04-30,162.130005,167.259995,161.839996,165.259995,162.156830,42427400
2018-05-01,166.410004,169.199997,165.270004,169.100006,165.924728,53569400
2018-05-02,175.229996,177.750000,173.800003,176.570007,173.254471,66539400
2018-05-03,175.880005,177.500000,174.440002,176.889999,173.568466,34068200
2018-05-04,178.250000,184.250000,178.169998,183.830002,180.378143,56201300
2018-05-07,185.179993,187.669998,184.750000,185.160004,181.683167,42451400
2018-05-08,184.990005,186.220001,183.669998,186.050003,182.556458,28402800
2018-05-09,186.550003,187.399994,185.220001,187.360001,183.841858,23211200
2018-05-10,187.740005,190.369995,187.649994,190.039993,186.471527,27989300
2018-05-11,189.490005,190.059998,187.449997,188.589996,185.762329,26212200
2018-05-14,189.009995,189.529999,187.860001,188.149994,185.328918,20778800
2018-05-15,186.779999,187.070007,185.100006,186.440002,183.644577,23695200
2018-05-16,186.070007,188.460007,186.000000,188.179993,185.358475,19183100
2018-05-17,188.000000,188.910004,186.360001,186.990005,184.186310,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,183.516510,18297700
2018-05-21,188.000000,189.270004,186.910004,187.630005,184.816711,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,184.353760,15240700
2018-05-23,186.350006,188.500000,185.759995,188.360001,185.535767,20058400
2018-05-24,188.770004,188.839996,186.210007,188.149994,185.328918,23234000
2018-05-25,188.229996,189.649994,187.649994,188.580002,185.752487,17461000
2018-05-29,187.600006,188.750000,186.869995,187.899994,185.082672,22514100
2018-05-30,187.720001,188.000000,186.779999,187.500000,184.688675,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,184.068115,27482800
